** NAÏVE BAYES - RESUBSTITUTION**;;;;;;
--- Detailed Accuracy By Class ---;;;;;;
;;;;;;
TP Rate;FP Rate;Precision;Recall;F-Measure;ROC Area;Class
0.14553990610328638;0.005248618784530387;0.7654320987654321;0.14553990610328638;0.24457593688362916;0.8104868622415895;positive
0.39414414414414417;0.03498056635202665;0.5813953488372093;0.39414414414414417;0.46979865771812085;0.8245553646372635;negative
0.9634760705289672;0.6942528735632184;0.8351528384279476;0.9634760705289672;0.894736842105263;0.8111039332348939;neutral
0.8148788927335641;0.5493609514333394;0.7999651566497669;0.8148788927335641;0.7796500651669765;0.8125150956915188; <- Weighted Avg.
;;;;;;
;;;;;;
** BAYES-NET - TUNED - RESUBSTITUTION**;;;;;;
--- Detailed Accuracy By Class ---;;;;;;
;;;;;;
TP Rate;FP Rate;Precision;Recall;F-Measure;ROC Area;Class
0.31220657276995306;0.016298342541436465;0.6927083333333334;0.31220657276995306;0.43042071197411;0.8311156070863487;positive
0.49774774774774777;0.06885063853414769;0.47121535181236673;0.49774774774774777;0.484118291347207;0.8328421772688847;negative
0.922544080604534;0.5229885057471264;0.8655834564254062;0.922544080604534;0.8931565310166133;0.8148185746547382;neutral
0.8116658428077114;0.4198033296304219;0.8041044052920862;0.8116658428077114;0.7995484150192522;0.8185123500814676; <- Weighted Avg.
;;;;;;
;;;;;;
** NAÏVE BAYES - 10CROSSFOLD**;;;;;;
--- Detailed Accuracy By Class ---;;;;;;
;;;;;;
TP Rate;FP Rate;Precision;Recall;F-Measure;ROC Area;Class
0.07042253521126761;0.0060773480662983425;0.5769230769230769;0.07042253521126761;0.12552301255230125;0.7754124192669831;positive
0.34684684684684686;0.03164908384230983;0.5746268656716418;0.34684684684684686;0.43258426966292135;0.8034816118172586;negative
0.966624685138539;0.7540229885057471;0.8239398819108964;0.966624685138539;0.8895972181976238;0.7927945583253713;neutral
0.8042511122095897;0.596000532623945;0.7705725714474658;0.8042511122095897;0.7589967830136606;0.7921371832664303; <- Weighted Avg.
;;;;;;
;;;;;;
** BAYES-NET - TUNED - 10 CROSS FOLD**;;;;;;
--- Detailed Accuracy By Class ---;;;;;;
;;;;;;
TP Rate;FP Rate;Precision;Recall;F-Measure;ROC Area;Class
0.2323943661971831;0.017403314917127072;0.6111111111111112;0.2323943661971831;0.336734693877551;0.7884704173475475;positive
0.44594594594594594;0.06829539144919489;0.44594594594594594;0.44594594594594594;0.44594594594594594;0.8081549414489447;negative
0.9234886649874056;0.5827586206896552;0.8526162790697674;0.9234886649874056;0.8866384522370012;0.7941061191696344;neutral
0.7983193277310925;0.4667766547870696;0.7825612050565781;0.7983193277310925;0.780378819549321;0.7950544306169415; <- Weighted Avg.
;;;;;;
;;;;;;
** NAÏVE BAYES - HoldOut**;;;;;;
--- Detailed Accuracy By Class ---;;;;;;
;;;;;;
TP Rate;FP Rate;Precision;Recall;F-Measure;ROC Area;Class
0.03076923076923077;0.0018450184501845018;0.6666666666666666;0.03076923076923077;0.05882352941176471;0.7494784274765824;positive
0.28225806451612906;0.024770642201834864;0.5645161290322581;0.28225806451612906;0.3763440860215054;0.7904224622669429;negative
0.9791666666666666;0.8110236220472441;0.8202443280977313;0.9791666666666666;0.8926875593542261;0.7806553477690289;neutral
0.8064250411861614;0.6440643238854249;0.777678106787882;0.8064250411861614;0.7506538570595165;0.7783144273075159; <- Weighted Avg.
;;;;;;
;;;;;;
** BAYES-NET - TUNED - HOLD OUT**;;;;;;
--- Detailed Accuracy By Class ---;;;;;;
;;;;;;
TP Rate;FP Rate;Precision;Recall;F-Measure;ROC Area;Class
0.15714285714285714;0.00931098696461825;0.6875;0.15714285714285714;0.2558139534883721;0.7856544293695131;positive
0.40601503759398494;0.05550416281221091;0.47368421052631576;0.40601503759398494;0.43724696356275294;0.7901240149402182;negative
0.9479277364505845;0.6446886446886447;0.8352059925093633;0.9479277364505845;0.8880039820806372;0.7851187070103117;neutral
0.7973640856672158;0.5068678801326897;0.7785657651987734;0.7973640856672158;0.7657162658814645;0.7857288446420791; <- Weighted Avg.
